New York,3835726
Los Angeles,2177650
Houston,1386389
Chicago,1374535
New York,1304564
San Antonio,1240092
Phoenix,1161455
Houston,1028148
San Diego,949388
San Antonio,937607
Chicago,873316
Dallas,839169
Chicago,785725
Austin,708171
Philadelphia,691186
Phoenix,669914
El Paso,587683
Fort Worth,575180
Indianapolis,553665
Dallas,549966
Columbus,549468
Denver,546370
Detroit,545988
Jacksonville,543582
El Paso,542017
Houston,529431
Portland,524258
Los Angeles,512999
Seattle,511401
Oklahoma City,462306
Charlotte,446795
San Jose,442798
San Francisco,442155
Nashville,432447
Las Vegas,429142
San Diego,425414
Memphis,420983
Mesa,413010
Albuquerque,411847
Los Angeles,404868
Tucson,404342
Baltimore,396270
San Jose,385198
Boston,378543
Colorado Springs,374900
Omaha,353417
Miami,338232
San Juan,335559
San Jose,331232
Washington,328786
Austin,327680
Fresno,325651
Virginia Beach,324924
San Francisco,324034
Dallas,322570
Miami,319942
Wichita,305910
Charlotte,301568
Milwaukee,297038
Kansas City,296623
Fort Worth,296133
Corpus Christi,292663
Washington,285402
Jacksonville,282692
Tulsa,279127
Long Beach,277962
Minneapolis,277862
