Lusaka,010 XXX XXXX
Kitwe,011 XXX XXXX
Ndola,012 XXX XXXX
Kabwe,013 XXX XXXX
Chingola,014 XXX XXXX
Mufulira,015 XXX XXXX
Luanshya,016 XXX XXXX
Livingstone,017 XXX XXXX
Kasama,018 XXX XXXX
Chipata,019 XXX XXXX
Kalulushi,020 XXX XXXX
Mazabuka,021 XXX XXXX
Chililabombwe,022 XXX XXXX
Mongu,023 XXX XXXX
Kafue,024 XXX XXXX
Choma,025 XXX XXXX
Mansa,026 XXX XXXX
Kansanshi,027 XXX XXXX
Kapiri Mposhi,028 XXX XXXX
Monze,029 XXX XXXX
Mpika,030 XXX XXXX
Nchelenge,031 XXX XXXX
Kawambwa,032 XXX XXXX
Mbala,033 XXX XXXX
Samfya,034 XXX XXXX
Sesheke,035 XXX XXXX
Petauke,036 XXX XXXX
Mumbwa,037 XXX XXXX
Siavonga,038 XXX XXXX
Kaoma,039 XXX XXXX
Chinsali,040 XXX XXXX
Kataba,041 XXX XXXX
Mwinilunga,042 XXX XXXX
Isoka,043 XXX XXXX
Mkushi,044 XXX XXXX
Maamba,045 XXX XXXX
Lundazi,046 XXX XXXX
Sinazongwe,047 XXX XXXX
Chambishi,048 XXX XXXX
Nakonde,049 XXX XXXX
Nakambala,050 XXX XXXX
Senanga,051 XXX XXXX
Mpongwe,052 XXX XXXX
Serenje,053 XXX XXXX
Mpulungu,054 XXX XXXX
Kalabo,055 XXX XXXX
Kalengwa,056 XXX XXXX
Limulunga,057 XXX XXXX
Zambezi,058 XXX XXXX
Mungwi,059 XXX XXXX
Kabompo,060 XXX XXXX
Luwingu,061 XXX XXXX
Mufumbwe,062 XXX XXXX
Chongwe,063 XXX XXXX
Kasempa,064 XXX XXXX
Solwezi,065 XXX XXXX
Chibombo,066 XXX XXXX
Namwala,067 XXX XXXX
Mwense,068 XXX XXXX
Chama,069 XXX XXXX
Chadiza,070 XXX XXXX
Mporokoso,071 XXX XXXX
Lukulu,072 XXX XXXX
Luangwa,073 XXX XXXX
Kaputa,074 XXX XXXX
Gwembe,075 XXX XXXX
Nyimba,076 XXX XXXX
